;number_vs_time;rts;sentiment;number;SPI;favorites;id;name;;;
1;15,86924573;8283;0,047411372;2840;93;56205;2xLMifQCjDGFmkHkpNLD9h;SICKO MODE;;b0;30,099263
10;14,54664418;1623;0,310041377;2476;96;12061;25sgk305KZfyuqVBQIahim;Sweet but Psycho;;numtime;1,00E+00
11;22,50453141;1004;0,128736839;1934;72;7740;2nOrEg4ZHuR0cFQHeV8RnI;Locationships;;rts;4,02E-04
12;16,76404407;3077;0,152540177;2952;83;16333;79OEIr4J4FHV0O3KrhaXRb;Splashin;;sentiment;1,20E+01
13;2,843190753;0;0,037435065;25;31;2;68CcjsUbRVus2F1MlcvHTx;Cacti for Clothes;;number;1,27E-02
14;25,10475772;9710;-0,404733755;1793;82;43756;5CE0V7z1ePOZQNJNpWxYGA;Confessions of a Dangerous Mind;;favs;-9,84E-05
15;1,714264271;7;-0,063995611;16;29;36;4HsbhFXDC6O30epTPycFQF;No Name No Face;;;
16;22,46232792;2292;-0,194908493;3627;94;15080;2qxmye6gAegTMjLKEBoR3d;Let Me Down Slowly;;;
17;16,08785468;1130;0,124432924;2381;88;11160;7qEKqBCD2vE5vIBsrUitpD;ilomilo;;;
18;1,462102085;1;-0,086456093;31;24;25;71hPJJ106daQSnIY34YCg5;Little Piece of Nothing;;;
19;14,31065588;100;0,504666946;70;61;229;3Vm5T4ZUrPXXkJ5YXqfvMX;Welcome to Silvertown;;;
2;14,23629275;2841;-0,468127991;2728;83;13751;4dTiQezDWmEOWcdCbWVWMp;Numb Numb Juice;;;
20;25,30843859;9378;0,095087376;3950;80;79273;2pMl9Sx4glsuk5ikZtFBtX;Old Town Road;;;
21;12,80580908;326;0,061704764;887;63;1003;5FWyHjKMW85oZoqgG1zD9b;Servin Killa Kam;;;
22;13,41669;865;0,066553131;1505;64;4055;6aYi4lYcAohNhlNWsbWfy0;Walker Texas Ranger;;;
23;17,35393868;7189;-0,176340978;2807;88;61099;1ThmUihH9dF8EV08ku5AXN;Faucet Failure;;;
24;0,813800336;11;0,104879679;17;29;47;6uIp0dqdS7TvlakhwXrWfi;Norfolk Drive;;;
25;6,079996753;2;0,027272727;5;19;4;4V3rTqWRT3PsoY43g9LyPs;Nomad Frays;;;
26;18,32265429;1402;0,293964837;1711;91;10999;3Fj47GNK2kUF0uaEDgXLaD;wish you were gay;;;
27;20,32293881;90;-0,319386048;104;52;289;2LO4djxEtCZ72VANAk3AQZ;Artificial Paradise;;;
28;8,451367233;1302;0,139252196;1500;68;10749;5uIYONgpUQ7t0v7D6CTMBt;Shrike;;;
29;2,106942138;200;0,032656355;100;48;1618;7KK5qTTb3TycT1crezYzGx;Cardboard Heart;;;
3;20,20185411;72691;-0,007733083;3750;92;264027;3oh6SCCeLuXhFpEyepla6G;Thotiana;;;
30;13,78929518;30;-0,090582078;93;33;121;3JEezF1chJ2RwJWQVn85Rm;Trouble Always Finds Me;;;
31;8,383519204;2;0,087202381;6;16;11;72ZNRYiPG65w6CtnVqtiSZ;Nebula Aerobics;;;
32;6,140278056;8;0,115930736;15;22;26;5WKAClOGDSDkCgEtGp6wx1;Isle Of Strawberries;;;
33;7,39947532;4;0,080399301;71;56;120;6fJBxzll53BBL703Hi3SHQ;Do Si Do;;;
34;1,733630012;1;0,149618206;6;14;17;1BbB50A4RYs7VnENtY5XFK;Colorblind Mind;;;
35;15,59872196;14;0,094105409;103;58;84;6IdY9Bc2TRygRcdfmbviTV;YNW Home Invasion;;;
36;21,16064729;5406;0,070403093;3263;86;53777;5SHhPFh68OhUmuRPymKX9d;Undrunk;;;
37;23,9754019;5263;0,020493285;3379;94;29571;7eBqSVxrzQZtK2mmgRG6lC;Murder On My Mind;;;
38;21,19367843;1529;0,063480573;3446;58;9102;5Dc6kJxciAXgi4aFHgp5X7;Phantom Limb;;;
39;13,61549463;22;0,1037628;38;44;195;77QGNPG5jDH0jyx4kveCcV;Blue Suede Couch;;;
4;12,17365128;21781;0,068322692;2093;97;84576;14msK75pk3pA33pzPVNtBF;7 rings;;;
40;18,6115783;3727;0,061640232;2922;90;31005;1xzBco0xcoJEDXktl7Jxrr;Mo Bamba;;;
5;1,015453225;38;0,060908687;89;54;388;5bJW3GFEgVklsym3fmCCaL;Lavender Bones;;;
6;0,861173283;6;0,125;2;6;8;65e76STTTmT7Nru1TDg5rR;Tea Gambler;;;
7;9,659269089;69;0,131143674;38;59;188;4RldvvNaEdteK2I0y6NWTR;God And Country Music;;;
8;17,85277191;857;0,148810529;245;55;5034;1Xes5PNTjJe3mR48KUmLxY;Honky Tonk Time Machine;;;
9;19,30822884;212;0,078679947;131;38;1230;49OExGKGl81xjwdwOatU05;Even in the Tremor;;;